Date,Abonne 1,Abonne 2,Abonne 3,Facture Abonne 1,Facture Abonne 2,Facture Abonne 3
1/1/2014 0:00,0,2.9,16.89,0,0.16501,0.961041
1/10/2014 0:00,0,3.42,13.84,0.00,0.36,1.75
1/11/2014 0:00,0,3.81,13.5,0.00,0.58,2.52
1/12/2014 0:00,0,4.58,14.6,0.00,0.84,3.35
1/13/2014 0:00,0,3.56,14.46,0.00,1.04,4.17
1/14/2014 0:00,0,4.25,12.34,0.00,1.28,4.87
1/15/2014 0:00,0,3.86,15.37,0.00,1.50,5.75
1/16/2014 0:00,0,3.53,17.01,0.00,1.70,6.71
1/17/2014 0:00,0,3.41,13.46,0.00,1.90,7.48
1/18/2014 0:00,0,0.85,19.56,0.00,1.94,8.59
1/19/2014 0:00,0,0.88,12.51,0.00,1.99,9.31
1/2/2014 0:00,0,5.64,15.15,0.00,2.32,10.17
1/20/2014 0:00,0,3.81,14.85,0.00,2.53,11.01
1/21/2014 0:00,0,6.51,11.73,0.00,2.90,11.68
1/22/2014 0:00,0,9.19,15.9,0.00,3.43,12.58
1/23/2014 0:00,0,7.79,13.33,0.00,3.87,13.34
1/24/2014 0:00,0,7.02,14.84,0.00,4.27,14.19
1/25/2014 0:00,0,7.25,15.82,0.00,4.68,15.09
1/26/2014 0:00,0,6.37,16.54,0.00,5.04,16.03
1/27/2014 0:00,0,6.43,6.69,0.00,5.41,16.41
1/28/2014 0:00,0,7.89,5.25,0.00,5.86,16.71
1/29/2014 0:00,0,7.46,15.91,0.00,6.28,17.61
1/3/2014 0:00,0,6.99,19.28,0.00,6.68,18.71
1/30/2014 0:00,0,7.95,24.94,0.00,7.13,20.13
1/31/2014 0:00,0,7.59,15.81,0.00,7.56,21.03
1/4/2014 0:00,0,3.32,17.19,0.00,7.75,22.01
1/5/2014 0:00,0,3.61,16.8,0.00,7.96,22.96
1/6/2014 0:00,0,5.35,17.48,0.00,8.26,23.96
1/7/2014 0:00,0,4.73,17.86,0.00,8.53,24.97
1/8/2014 0:00,0,3.68,23.99,0.00,8.74,26.34
1/9/2014 0:00,0,3.53,12.34,0.00,8.94,27.04
